filename,number_of_pages,categorized,all_categorized,file_location,content
104-10070-10272.pdf,6,6,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10070-10272.pdf,
104-10070-10296.pdf,44,44,True,/Users/furkandemir/Desktop/Thesis/files/41-50/104-10070-10296.pdf,
104-10071-10010.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10010.pdf,
104-10071-10021.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10071-10021.pdf,
104-10071-10041.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10071-10041.pdf,
104-10071-10043.pdf,5,5,True,/Users/furkandemir/Desktop/Thesis/files/5/104-10071-10043.pdf,
104-10071-10056.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10056.pdf,
104-10071-10060.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10060.pdf,
104-10071-10102.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10071-10102.pdf,
104-10071-10122.pdf,7,7,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10071-10122.pdf,
104-10071-10139.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10071-10139.pdf,
104-10071-10143.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10071-10143.pdf,
104-10071-10147.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10071-10147.pdf,
104-10071-10148.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10148.pdf,
104-10071-10239.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10239.pdf,
104-10071-10257.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10071-10257.pdf,
104-10071-10324.pdf,10,10,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10071-10324.pdf,
104-10071-10404.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10404.pdf,
104-10071-10405.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10071-10405.pdf,
104-10071-10407.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10071-10407.pdf,
104-10072-10001.pdf,6,6,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10072-10001.pdf,
104-10072-10013.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10072-10013.pdf,
104-10072-10034.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10072-10034.pdf,
104-10072-10046.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10072-10046.pdf,
104-10072-10212.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10072-10212.pdf,
104-10072-10227.pdf,10,10,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10072-10227.pdf,
104-10072-10228.pdf,13,13,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10072-10228.pdf,
104-10072-10243.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10072-10243.pdf,
104-10072-10289.pdf,10,10,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10072-10289.pdf,
104-10072-10315.pdf,7,7,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10072-10315.pdf,
104-10073-10061.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10073-10061.pdf,
104-10073-10074.pdf,3,3,True,/Users/furkandemir/Desktop/Thesis/files/3/104-10073-10074.pdf,
104-10073-10101.pdf,18,18,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10073-10101.pdf,
104-10073-10105.pdf,2,2,True,/Users/furkandemir/Desktop/Thesis/files/2/104-10073-10105.pdf,
104-10073-10113.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10073-10113.pdf,
104-10073-10133.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10073-10133.pdf,
104-10073-10279.pdf,16,16,True,/Users/furkandemir/Desktop/Thesis/files/11-20/104-10073-10279.pdf,
104-10073-10322.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10073-10322.pdf,
104-10073-10350.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10073-10350.pdf,
104-10073-10363.pdf,1,1,True,/Users/furkandemir/Desktop/Thesis/files/1/104-10073-10363.pdf,
104-10074-10006.pdf,10,10,True,/Users/furkandemir/Desktop/Thesis/files/6-10/104-10074-10006.pdf,
104-10074-10007.pdf,4,4,True,/Users/furkandemir/Desktop/Thesis/files/4/104-10074-10007.pdf,
